,actual
136370,4382.0
32816,2144.0
140247,1179.0
26417,2190.0
56978,1479.0
4997,1364.0
43772,871.0
108565,525.0
130987,900.0
34461,2522.0
59371,1899.0
85605,2836.0
14306,1706.0
133710,2969.0
81773,1892.0
8357,1988.0
87813,1603.0
5908,1187.0
94495,1192.0
105125,1593.0
91041,1907.0
143903,1358.0
11260,1283.0
47672,2296.0
142492,1679.0
13386,638.0
48786,1533.0
47086,1515.0
130533,1911.0
86244,952.0
105571,1080.0
19863,2281.0
101465,3750.0
81605,1373.0
43939,968.0
77489,2477.0
64512,2181.0
110039,1005.0
141304,1757.0
41049,3140.0
82293,2306.0
93464,1602.0
93255,1547.0
108738,1762.0
34312,892.0
21253,1502.0
14630,1414.0
146148,1550.0
106314,973.0
103354,864.0
105146,849.0
116993,1874.0
128833,1914.0
90895,3346.0
145303,447.0
8138,2488.0
54846,921.0
129292,1767.0
124098,3624.0
2936,1038.0
28999,869.0
125849,944.0
72465,1729.0
4905,2658.0
81145,2146.0
78384,1049.0
88216,1462.0
49518,1651.0
21011,2051.0
108009,1467.0
118120,2865.0
47180,1653.0
40534,2532.0
104047,1466.0
82331,2201.0
91492,1992.0
8971,1255.0
82349,1255.0
129140,1768.0
75844,1111.0
5843,2187.0
98908,536.0
132283,2070.0
115902,1043.0
150841,1663.0
101664,2542.0
70947,1006.0
26201,856.0
5567,2625.0
142447,2654.0
87682,2649.0
140313,827.0
149210,4090.0
107594,897.0
52997,1294.0
100530,2210.0
148094,2053.0
124467,1603.0
63858,1401.0
110301,1233.0
35274,2214.0
86591,1323.0
89421,851.0
60444,1303.0
86851,2029.0
100159,723.0
92512,3297.0
101178,1197.0
13799,1956.0
14916,713.0
75385,1973.0
73709,1636.0
86686,598.0
54953,2871.0
33145,1335.0
39052,1261.0
120982,1681.0
148597,1453.0
54411,2500.0
1312,1828.0
40152,3741.0
154221,951.0
83193,1153.0
2671,2851.0
37471,691.0
90169,1142.0
1759,1588.0
2146,1876.0
118627,1605.0
71414,3658.0
135602,1063.0
11270,1107.0
30923,2185.0
33130,1869.0
138048,1621.0
112671,2122.0
57940,1239.0
64894,1177.0
122082,1465.0
117814,2539.0
110366,1299.0
150844,2065.0
110143,2738.0
22846,5529.0
118526,2320.0
49291,1114.0
129439,973.0
72450,1821.0
4365,890.0
151044,1138.0
141519,2545.0
29392,2439.0
95275,1381.0
38871,2395.0
73575,801.0
51202,803.0
153337,1759.0
106462,1538.0
63979,2596.0
35876,3810.0
119170,1055.0
29255,1791.0
102465,1707.0
37816,1226.0
133716,1835.0
3453,2093.0
70404,1313.0
62494,4488.0
106421,1529.0
153830,1254.0
107866,2151.0
112000,7247.0
56755,1306.0
97214,1533.0
98669,3330.0
91022,1418.0
145794,1599.0
71316,2266.0
58567,2302.0
30345,930.0
128373,4973.0
57006,1488.0
13416,1536.0
23327,526.0
76806,1285.0
103856,2003.0
86771,1569.0
63695,3623.0
157028,2271.0
9571,1251.0
102752,1505.0
135709,1112.0
119318,2348.0
2896,6505.0
37908,3044.0
139436,2766.0
25011,1037.0
139896,579.0
34231,947.0
126734,1950.0
8214,1382.0
80972,1296.0
29245,944.0
14663,1635.0
148813,2204.0
12716,2300.0
143788,2245.0
89709,2856.0
116660,1875.0
120071,1214.0
81563,3604.0
128902,1010.0
120998,1661.0
14279,1078.0
9965,3004.0
88492,3020.0
4129,1133.0
69430,1644.0
43427,1247.0
59536,394.0
70974,1382.0
33965,3440.0
72456,1956.0
155867,1099.0
130064,2441.0
90838,1150.0
7253,1099.0
137712,1881.0
141831,1858.0
130276,1226.0
70367,3565.0
148772,1933.0
96654,1695.0
135087,1136.0
101809,1400.0
151619,695.0
16113,2390.0
130755,2496.0
27334,1876.0
43670,2685.0
18044,1217.0
5490,912.0
114084,2158.0
20059,934.0
118673,1625.0
102721,2814.0
146527,2082.0
23025,911.0
16896,2235.0
93286,1682.0
91896,1298.0
149935,1254.0
31302,1020.0
29983,4366.0
19379,1421.0
73663,718.0
58187,1830.0
59386,924.0
95922,2393.0
114621,2613.0
82066,1686.0
102259,1545.0
128914,4033.0
102646,5185.0
47915,822.0
106569,1193.0
120548,1095.0
68980,3688.0
95678,2631.0
121384,711.0
110499,2275.0
48902,898.0
85624,3302.0
26378,2456.0
152821,1396.0
18074,2611.0
28590,4641.0
152559,1703.0
150992,1536.0
143639,1132.0
385,1491.0
62417,1024.0
125188,3276.0
72468,1855.0
10351,3828.0
150043,653.0
84395,1280.0
102493,1106.0
48524,1719.0
27182,538.0
25928,2167.0
118136,1293.0
29851,1503.0
148854,739.0
126319,2042.0
40896,1437.0
145372,2440.0
91043,3679.0
14525,1923.0
19643,1824.0
157080,3325.0
120518,2011.0
155399,1171.0
92129,1982.0
83747,1916.0
25506,2146.0
37109,3402.0
90181,1330.0
125640,496.0
2474,825.0
88771,2814.0
139064,1520.0
48981,4715.0
106161,1462.0
1717,1469.0
18906,2476.0
92306,1875.0
101966,862.0
79712,2084.0
114524,2528.0
5940,1387.0
85788,1661.0
79798,1677.0
56659,1841.0
71367,1634.0
113361,2629.0
139992,998.0
71086,1803.0
74511,251.0
132552,2015.0
138266,1042.0
119006,1942.0
68670,2676.0
129028,1771.0
18430,1513.0
75491,2373.0
109312,1170.0
99866,2727.0
494,3033.0
87472,2120.0
60391,3107.0
47067,2392.0
55112,2162.0
96679,1566.0
106539,2101.0
11128,1711.0
74856,1671.0
110737,2329.0
131006,332.0
93565,2269.0
71272,1657.0
36302,1141.0
58137,1524.0
153924,2147.0
30646,2469.0
122014,4364.0
122295,1683.0
33360,1943.0
48160,1628.0
69821,536.0
68215,1839.0
101836,1568.0
139523,2128.0
75753,1572.0
120069,2268.0
134298,545.0
83150,1549.0
145674,1919.0
19975,3235.0
143926,1241.0
136890,1507.0
120016,1159.0
33984,2003.0
12105,2914.0
138924,1953.0
94145,2175.0
125335,2445.0
28084,2277.0
77301,1598.0
15400,1287.0
119566,1892.0
44259,1467.0
56973,1122.0
98577,1246.0
134128,900.0
20808,2120.0
100949,2470.0
128209,2518.0
93792,1359.0
47613,699.0
148147,844.0
43397,2622.0
84335,2798.0
83963,1974.0
98232,3102.0
681,3100.0
88591,1635.0
9747,1851.0
124598,694.0
18933,958.0
2913,2972.0
112382,1239.0
13293,693.0
136076,1924.0
96121,1393.0
86766,597.0
127580,2767.0
64742,676.0
136115,1033.0
65972,2687.0
43465,3042.0
102168,2851.0
132819,979.0
140870,1504.0
133223,1035.0
73011,2399.0
21265,1458.0
137666,1087.0
67475,1751.0
97351,2075.0
129158,1364.0
127975,1123.0
55336,3179.0
32261,2546.0
37173,1294.0
65169,1126.0
14291,1773.0
102985,3118.0
11532,1434.0
80943,689.0
87982,1087.0
24928,3989.0
123553,1140.0
119415,2092.0
154992,1298.0
81024,1937.0
139632,931.0
45367,1868.0
111999,3098.0
1443,1037.0
89633,291.0
111668,1828.0
104216,437.0
109912,1891.0
124327,1620.0
151,717.0
99807,1980.0
79195,3108.0
9308,2283.0
99435,2194.0
65711,2206.0
114346,2613.0
95268,1050.0
144706,2172.0
650,2705.0
94379,1638.0
118288,1329.0
16278,1323.0
103646,2981.0
71516,1316.0
100401,1973.0
124384,2154.0
32891,1595.0
122437,828.0
97660,1109.0
44574,2028.0
21278,1273.0
50146,2782.0
55965,2124.0
133656,3212.0
9838,1549.0
58624,1928.0
12214,1358.0
106497,739.0
53973,1412.0
23254,1567.0
154710,2210.0
106883,1855.0
144660,1047.0
47454,2848.0
57750,2658.0
89559,3257.0
126721,2754.0
95822,1249.0
118535,1622.0
9531,3165.0
68315,1182.0
138486,1288.0
96462,3204.0
87034,1469.0
116528,1555.0
92256,1830.0
132028,3026.0
51316,2173.0
47543,1836.0
79137,2943.0
37041,1116.0
94973,4033.0
39223,1013.0
82183,945.0
16180,1062.0
19582,1106.0
97055,1217.0
25766,1881.0
147140,1231.0
124448,1004.0
7168,1492.0
85035,3541.0
41681,3866.0
64308,1321.0
8862,1520.0
107852,3936.0
140659,2561.0
145276,493.0
120194,3120.0
14760,2122.0
142495,1405.0
23152,1713.0
42696,5882.0
60321,1907.0
151374,2221.0
7345,1718.0
132542,2075.0
153589,1803.0
90305,1333.0
91722,808.0
131411,2047.0
38028,1595.0
133020,2411.0
15498,1788.0
145520,2105.0
86581,1591.0
14953,2279.0
131395,1463.0
29305,1198.0
40788,1353.0
12922,4834.0
56106,1392.0
143365,2719.0
152347,1378.0
1830,2320.0
152013,3041.0
84983,744.0
104953,1665.0
42758,538.0
11839,2047.0
70739,2625.0
47534,3438.0
40405,1653.0
151796,1813.0
142753,1608.0
54548,2775.0
87783,1896.0
40793,2931.0
63687,1770.0
135309,2470.0
1866,2172.0
99568,1796.0
114558,2483.0
148169,1210.0
61755,1826.0
100250,1172.0
81010,2013.0
88673,865.0
115367,1845.0
23656,3178.0
81494,1100.0
62218,673.0
69216,1636.0
35926,2788.0
126402,1453.0
4296,1315.0
9814,2069.0
87467,2104.0
105350,3310.0
31178,1374.0
30545,1693.0
61696,2075.0
3662,1610.0
41969,2328.0
147345,1046.0
32820,2878.0
165,1933.0
13623,742.0
111576,1472.0
149059,2681.0
118680,1711.0
42284,999.0
85782,1655.0
37384,1023.0
102152,2556.0
102631,3612.0
12216,1782.0
46690,1349.0
70178,678.0
41839,1262.0
115377,1952.0
9395,3037.0
8480,387.0
58217,1131.0
117968,2274.0
84579,1249.0
44397,1871.0
18081,2679.0
110643,861.0
63402,976.0
117842,646.0
12444,3664.0
51998,446.0
37354,2150.0
49261,2259.0
85883,864.0
6999,2522.0
91026,1765.0
124378,2288.0
12830,1821.0
76946,1699.0
135276,2858.0
26474,1198.0
28662,3124.0
11093,2310.0
26306,2021.0
37572,2288.0
30027,939.0
112304,1688.0
25589,1102.0
130459,1486.0
83448,1549.0
59645,2075.0
131447,2925.0
26246,1620.0
123329,1572.0
82945,3276.0
23271,2726.0
34,3159.0
118101,3771.0
116682,3084.0
67060,732.0
129553,3360.0
51505,3081.0
136718,3516.0
101797,2122.0
137797,2747.0
130587,1052.0
86724,2581.0
136102,1366.0
51815,1397.0
59010,1971.0
110057,1033.0
107141,878.0
12059,1998.0
20119,1687.0
49938,1530.0
137635,1089.0
13263,1872.0
64476,1562.0
125680,2486.0
50515,2135.0
95418,1577.0
95880,1276.0
55859,1288.0
1057,1382.0
32257,1443.0
126503,2025.0
28641,608.0
88577,1014.0
143879,1114.0
60066,1781.0
121040,1815.0
37090,2488.0
20663,1215.0
99885,3170.0
912,1833.0
130090,2041.0
78971,1275.0
889,2086.0
118715,4478.0
48286,1307.0
69622,2403.0
5044,2391.0
152444,566.0
129262,2538.0
95722,1481.0
153273,1463.0
127553,1697.0
49074,1077.0
79628,594.0
19479,1223.0
103056,423.0
47190,564.0
99499,3178.0
27214,1086.0
21736,2015.0
138903,5184.0
87321,1544.0
68391,1301.0
148719,1432.0
132435,1915.0
126435,2703.0
130003,1754.0
119766,1770.0
57944,1538.0
16155,2422.0
54425,2079.0
25353,2105.0
60591,1801.0
144912,4004.0
55201,2071.0
82172,1749.0
151172,2095.0
882,3716.0
23887,2597.0
112495,1727.0
15648,5935.0
84653,312.0
1772,1151.0
3768,1788.0
8767,3289.0
108176,1530.0
73224,2531.0
60715,1118.0
35549,1795.0
19784,2196.0
52311,1146.0
13330,939.0
17621,2489.0
131776,988.0
132224,1381.0
81907,2764.0
91306,1086.0
103139,1787.0
67268,3705.0
62735,2523.0
84262,1147.0
105948,1123.0
98357,3434.0
44770,1255.0
97575,1430.0
