,actual,best_model,best_rmse
136370,4382.0,Ridge,4.453794542999621e-08
32816,2144.0,Ridge,4.453794542999621e-08
140247,1179.0,Ridge,4.453794542999621e-08
26417,2190.0,Ridge,4.453794542999621e-08
56978,1479.0,Ridge,4.453794542999621e-08
4997,1364.0,Ridge,4.453794542999621e-08
43772,871.0,Ridge,4.453794542999621e-08
108565,525.0,Ridge,4.453794542999621e-08
130987,900.0,Ridge,4.453794542999621e-08
34461,2522.0,Ridge,4.453794542999621e-08
59371,1899.0,Ridge,4.453794542999621e-08
85605,2836.0,Ridge,4.453794542999621e-08
14306,1706.0,Ridge,4.453794542999621e-08
133710,2969.0,Ridge,4.453794542999621e-08
81773,1892.0,Ridge,4.453794542999621e-08
8357,1988.0,Ridge,4.453794542999621e-08
87813,1603.0,Ridge,4.453794542999621e-08
5908,1187.0,Ridge,4.453794542999621e-08
94495,1192.0,Ridge,4.453794542999621e-08
105125,1593.0,Ridge,4.453794542999621e-08
91041,1907.0,Ridge,4.453794542999621e-08
143903,1358.0,Ridge,4.453794542999621e-08
11260,1283.0,Ridge,4.453794542999621e-08
47672,2296.0,Ridge,4.453794542999621e-08
142492,1679.0,Ridge,4.453794542999621e-08
13386,638.0,Ridge,4.453794542999621e-08
48786,1533.0,Ridge,4.453794542999621e-08
47086,1515.0,Ridge,4.453794542999621e-08
130533,1911.0,Ridge,4.453794542999621e-08
86244,952.0,Ridge,4.453794542999621e-08
105571,1080.0,Ridge,4.453794542999621e-08
19863,2281.0,Ridge,4.453794542999621e-08
101465,3750.0,Ridge,4.453794542999621e-08
81605,1373.0,Ridge,4.453794542999621e-08
43939,968.0,Ridge,4.453794542999621e-08
77489,2477.0,Ridge,4.453794542999621e-08
64512,2181.0,Ridge,4.453794542999621e-08
110039,1005.0,Ridge,4.453794542999621e-08
141304,1757.0,Ridge,4.453794542999621e-08
41049,3140.0,Ridge,4.453794542999621e-08
82293,2306.0,Ridge,4.453794542999621e-08
93464,1602.0,Ridge,4.453794542999621e-08
93255,1547.0,Ridge,4.453794542999621e-08
108738,1762.0,Ridge,4.453794542999621e-08
34312,892.0,Ridge,4.453794542999621e-08
21253,1502.0,Ridge,4.453794542999621e-08
14630,1414.0,Ridge,4.453794542999621e-08
146148,1550.0,Ridge,4.453794542999621e-08
106314,973.0,Ridge,4.453794542999621e-08
103354,864.0,Ridge,4.453794542999621e-08
105146,849.0,Ridge,4.453794542999621e-08
116993,1874.0,Ridge,4.453794542999621e-08
128833,1914.0,Ridge,4.453794542999621e-08
90895,3346.0,Ridge,4.453794542999621e-08
145303,447.0,Ridge,4.453794542999621e-08
8138,2488.0,Ridge,4.453794542999621e-08
54846,921.0,Ridge,4.453794542999621e-08
129292,1767.0,Ridge,4.453794542999621e-08
124098,3624.0,Ridge,4.453794542999621e-08
2936,1038.0,Ridge,4.453794542999621e-08
28999,869.0,Ridge,4.453794542999621e-08
